texte;intention;registre;correct (o/n)
"je voulais savoir pour ma commande de univers des boissons là avec le vinut cocktail s'il est déjà en route";suivi;vocal;
"bonsoir euh dites moi le livreur de lina chips est parti ou bien";suivi;vocal;
"euh je regarde l'application mais je vois pas où est le gars avec les nems";suivi;vocal;
"Tu peux me localiser le gars qui transporte mon Artefan 60-360mg Cpr B-6 s'il te plaît ?";suivi;niger;
"Mon Burger Poulet s'il vous plaît";suivi;piege;
"Ma commande de VIANDE ET POISSON FRIS";suivi;piege;
"Mon coursier est vers où actuellement ?";suivi;local;
"Ina mai kawo kaya na ya tsaya ? Le livreur est où là ?";suivi;local;
"Le livreur avec mon 1/2 Poulet Mandi de chez Restaurant Albarka Food est arrivé à quel niveau ?";suivi;local;
"Il est où actuellement s'il vous plaît ?";suivi;local;
"Mon colis a quitté l'agence ou pas encore ?";suivi;local;
"C'est comment pour mon Alloco M là, le gars est en route ?";suivi;local;
"Aboki, le gars qui amène ma commande est où ?";suivi;local;
"Suivi commande";suivi;local;
"Est-ce que le gars a déjà récupéré mon Chawarma foie ?";suivi;local;
"Faut me dire le livreur est vers quel quartier actuellement.";suivi;local;
"Barka, mon plat de Festival Des Grillades - Niamey est à quel niveau s'il vous plaît ?";suivi;local;
"Mon Crispy poulet arrive dans combien de temps ?";suivi;local;
"Ina abincin yake ? Ça arrive quand ?";suivi;local;
"Le coursier a quitté GARBA D'OR ou pas encore ?";suivi;local;
"Don Allah le livreur est où maintenant ?";suivi;local;
"Je peux avoir la position du livreur avec mon Boba banane ?";suivi;local;
"Il est loin de chez moi actuellement ?";suivi;local;
"Ça avance la préparation de mon Poulet Pizza ?";suivi;local;
"Wayyo j'attends depuis, le livreur est à quel carrefour maintenant ?";suivi;local;
"Le gars est déjà en route avec mon pack ou il est toujours au magasin ?";suivi;local;
"Barka dai, vous avez localisé le livreur de mon Manakish Fromage ?";suivi;local;
"La commande est déjà partie de la boutique ?";suivi;local;
"Mon coursier se trouve vers où svp ?";suivi;local;
"Ma commande chez Ce qu'on dit tout bas est prête ?";suivi;local;
"Pouvez-vous annuler l'achat de Nescafé EXPRESSO ORIGINAL 95g validé il y a quelques instants ?";annuler;standard;
"Veuillez procéder à l'annulation intégrale de ma commande s'il vous plaît.";annuler;standard;
"faut annuler les flocons d'avoine blancs quaker oats 500 g";annuler;sms;
"annule c bon";annuler;sms;
"finalement jveux plus rien annule";annuler;sms;
"annullerr tout";annuler;fautes;
"anuler la cmd chez BOBA ( Centre Aéré";annuler;fautes;
"finalement je veux annuler ma commande là c'est possible";annuler;vocal;
"Wallahi laisse tomber la commande, annule seulement.";annuler;niger;
"Wallahi je sors de la maison, annulez ma livraison.";annuler;niger;
"Il faut couper la commande du CELERI, je ne prends plus rien aujourd'hui.";annuler;niger;
"Pardonnez annulez tout, je n'ai plus d'argent sur moi wallahi.";annuler;niger;
"Finalement ne cherchez plus le Durum Poulet, laissez tomber mon achat.";annuler;piege;
"Bonjour le coursier peut faire demi-tour, je renonce à mon panier DABALI EXPRESS.";annuler;piege;
"Ne m'envoyez aucun coursier à la maison finalement, effacez la demande.";annuler;piege;
"Oubliez mon envie de DESSERTS, stoppez la commande en cours.";annuler;piege;
"Annule ça tout de suite deh, ba na so encore.";annuler;local;
"Laisse tomber la commande du 1/4 Tadjine de poulet s'il te plaît.";annuler;local;
"Yuwa c'est bon, supprime ma commande de chez FOOD THE GOUT UNIQUE.";annuler;local;
"S'il vous plaît, je veux annuler mon tacos gratiné XL, un imprévu est venu.";annuler;local;
"Kayi hakuri, annule ma commande là.";annuler;local;
"C'est gâté, laisse le MILKSHAKE SPECULOS là s'il vous plaît, j'annule.";annuler;local;
"Annule la commande de Biscuits à l'avoine et aux raisins secs McOaty de GPR 141 g.";annuler;local;
"Wayyo, je ne veux plus, annule tout seulement.";annuler;local;
"Pardon il faut couper la course chez Complexe GMK, j'ai changé d'avis.";annuler;local;
"Baki daya, annule ma commande !";annuler;local;
"Je ne suis plus à la maison deh, annulez le colis.";annuler;local;
"Babou magana, annule ma commande du Smoothie Mangue.";annuler;local;
"S'il te plaît je veux annuler, c'est trop en retard.";annuler;local;
"Kala, laisse tomber la commande là, je ne prends plus.";annuler;local;
"Ne livrez plus, annulez ma commande de MAISON GRILL.";annuler;local;
"Pardonnez-moi je dois annuler ma commande de POMME.";annuler;local;
"Stop, annulez tout maintenant.";annuler;local;
"Wallahi je n'ai plus l'argent, annulez le Lait Guigoz 1 vite.";annuler;local;
"A banza, je préfère annuler ma commande.";annuler;local;
"Annuler la commande.";annuler;local;
"To, laisse le Alloco M là, j'annule.";annuler;local;
"Je veux couper ma commande de chez GALAXIE s'il vous plaît.";annuler;local;
"Ba komi, annulez la commande simplement.";annuler;local;
"S'il vous plaît supprimez ma commande de SMOOTHIE FRAISE, j'annule ça.";annuler;local;
"Bonjour.";social;standard;
"Merci beaucoup pour votre aide, c'est très gentil.";social;standard;
"Bonjour l'équipe de Tovo, comment allez-vous aujourd'hui ?";social;standard;
"C'est parfait, merci bien.";social;standard;
"Bon après-midi à toute l'équipe.";social;standard;
"Merci, vous êtes très aimables.";social;standard;
"merciii bcp mon frere";social;fautes;
"merci bien pr le service c propre";social;fautes;
"sava bien et vs ?";social;fautes;
"salam frer";social;fautes;
"franchement vous etes nuls c est du grand n importe quoi votre service";social;vocal;
"euh merci bien mon frere";social;vocal;
"coucou";social;vocal;
"Franchement votre application là commence à m'énerver dêh.";social;niger;
"C'est bon, merci bien dèh !";social;niger;
"La CHEMISE MIXTE-Pagne que vous m'aviez apportée la semaine dernière a fait sensation au mariage !";social;piege;
"Salam aleykoum Tovo !";social;local;
"Bonjour mon frère, fofo baani ?";social;local;
"Nagode sosai pour le service d'hier.";social;local;
"Barka de zuwa l'équipe, comment vous allez aujourd'hui ?";social;local;
"Fofo !";social;local;
"Vraiment merci beaucoup, vous gérez trop.";social;local;
"Ina kwana ! J'espère que tout le monde se porte bien chez vous.";social;local;
"Merci deh !";social;local;
"Ah wallahi le gars de chez GARBA D'OR était super gentil tout à l'heure.";social;local;
"Yo fofo zaari, la famille va bien ?";social;local;
"Franchement vous êtes nuls, l'autre fois c'était trop en retard dé.";social;local;
"Salam alaykoum, juste pour vous saluer et dire bravo pour l'application.";social;local;
"Nagode !";social;local;
"Bonjour l'ami, ça va ou quoi ?";social;local;
"Baasi si, je voulais juste vous faire un petit coucou rapide.";social;local;
"Wallahi vous m'avez sauvé la vie hier avec le Biscuits Crok Gout Vanille pour le petit.";social;local;
"Barka zaari !";social;local;
"Franchement MIAM PIZZA ( Francophonie ) m'a déçu grave la semaine passée, pff.";social;local;
"Merci bien les gars, vous êtes les meilleurs à Niamey.";social;local;
"Koyano ? J'espère que la journée se passe bien.";social;local;
"Bonsoir Tovo, juste un grand merci pour votre sérieux.";social;local;
"C'est gâté quoi, votre truc là bug trop souvent franchement !";social;local;
"Sannu de aiki les frères, bon courage pour le travail.";social;local;
"Aywa merci beaucoup !";social;local;
"Salam, j'adore trop votre service, continuez comme ça les champions.";social;local;
